,population (millions),NOC,GDP,GDP/capita,GNI,number of 65+,Host
0,0.106585,ABW,2752412117.66957,25823.63482356401,2541919139.36196,14.937373926912793,0
1,38.97223,AFG,21553064853.4717,553.0364788843672,20332384124.9184,2.41695176283215,0
2,33.428486,AGO,78482965946.1149,2347.7870324762807,49106329133.1831,2.5899737128388045,0
3,2.837849,ALB,12516205780.1976,4410.455165231695,14881636667.2803,15.82212443297723,0
4,9.287289,ARE,383342656303.629,41276.05551023867,349010115405.013,1.6539810487215374,0
5,45.376763,ARG,514630046744.607,11341.268365586302,375535785072.697,11.72745398344082,0
6,2.805608,ARM,11941035996.715,4256.131290157071,12445446287.6346,12.407898751357994,0
7,0.092664,ATG,1301036618.29788,14040.3675461655,1345593296.2963,9.804238970905638,0
8,25.655289,AUS,1491020027693.27,58117.45202688109,1297066630915.67,16.233592223420285,0
9,8.916864,AUT,387488567518.429,43455.70006657374,439084398837.667,19.149434150840474,0
10,10.093121,AZE,51307185983.705,5083.381640198805,42422882352.9412,6.4715165903589185,0
11,12.220227,BDI,3218331132.28914,263.3609942179585,2664216794.82333,2.4667217720260024,0
12,11.538604,BEL,468610314043.125,40612.39245606531,530570423697.745,19.207618183274164,0
13,12.643123,BEN,14725520536.3954,1164.705946180813,15488837234.8031,3.088857080643762,0
14,21.522626,BFA,15291209207.4632,710.4713526808114,16664828374.0397,2.561411418848239,0
15,167.420951,BGD,266759891218.313,1593.3483212522965,389378636013.591,5.632962866158848,0
16,6.934015,BGR,55170276014.5092,7956.46908962689,67804452601.5265,22.265123453006662,0
17,1.477469,BHR,33258424204.4726,22510.404079187178,32270186170.2128,3.197089075980613,0
18,3.318407,BIH,17830360816.558,5373.1687573459185,19837425160.1631,17.742850711199683,0
19,9.379952,BLR,58600611434.1156,6247.431909471989,58770700114.7729,16.552728628035624,0
20,0.394921,BLZ,1990450226.24434,5040.122521325379,2021350000.0,4.805771280838446,0
21,0.063893,BMU,6373022721.95909,99745.2416064215,7090229000.0,19.022428122016493,0
22,11.936162,BOL,34855949753.6257,2920.1974431668823,36212961241.3674,4.978409307782519,0
23,213.196304,BRA,1749105698451.8,8204.202726008796,1417763933368.25,9.290755340674199,0
24,0.280693,BRB,4169888153.51001,14855.689858706879,4604300000.0,15.156416440737747,0
25,0.441725,BRN,13429361905.6174,30402.08705782421,12367616148.4381,5.466523289376875,0
26,0.772506,BTN,2223610397.35509,2878.4377045033825,2182329953.45296,6.032056708944655,0
27,2.546402,BWA,14797010398.2463,5810.94830990798,14681334421.5359,3.548379242554789,0
28,5.34302,CAF,2004791522.88005,375.21692280396667,2456788005.78888,2.4788789860416016,0
29,38.037204,CAN,1607402450990.09,42258.69101709185,1627048914857.45,18.018427432258164,0
30,8.638167,CHE,729361717205.744,84434.77849012922,725285845501.105,18.725847740614416,0
31,19.300315,CHL,246412987238.941,12767.303913896794,236832791213.421,12.395580072138719,0
32,1411.1,CHN,14616539906901.3,10358.259447878465,14570068687688.4,12.598261923322232,0
33,26.81179,CIV,61046143153.121,2276.839522953186,59502171962.1395,2.4088320846911,0
34,26.491087,CMR,37599546920.5223,1419.328203501891,39888925373.4455,2.736984707347041,0
35,50.930662,COL,298741646109.87,5865.6540947743815,267841971759.882,8.472310844889469,0
36,0.806166,COM,1090706651.56557,1352.9554106295354,1229785158.09193,4.3339709191407225,0
37,0.58264,CPV,1632003277.60234,2801.049151452595,1662754661.62237,5.368323493066044,0
38,5.123105,CRI,61774415011.1398,12058.002912518834,58656755770.7639,10.218334389008229,0
39,7.444768,CSS,68700252655.0787,9227.991074413427,63111311260.0539,8.14601610150914,0
40,0.154947,CUW,2285297113.28628,14748.895514506768,2612264134.07821,14.246806972706796,0
41,0.067311,CYM,5123472698.90796,76116.42523373535,4161116164.64659,7.527744350849044,0
42,1.237537,CYP,23918440580.3503,19327.454920822813,23250425242.7184,14.154485886078557,0
43,10.697858,CZE,203773728339.855,19048.086854382906,233709848019.733,20.164896561535965,0
44,1.090156,DJI,3065136606.43585,2811.6495312926318,3082506549.59178,4.4575271795963145,0
45,0.071995,DMA,472745391.132996,6566.364207694924,511125666.666667,9.172859226335161,0
46,5.831404,DNK,325968427772.869,55898.79002944557,366699355981.367,20.046921804766058,0
47,10.999664,DOM,83287065054.8355,7571.782652164238,75019702329.0786,6.964985475919992,0
48,43.451666,DZA,168310463422.672,3873.5100150744966,142064920395.53,6.017470078132332,0
49,17.588595,ECU,93781977159.7812,5331.976610967573,96426857000.0,7.544155744105768,0
50,47.365655,ESP,1173978918108.98,24785.4467146919,1280087734202.34,19.672509543043372,0
51,1.329522,EST,26747463292.8629,20118.10507299834,31019305048.4048,20.18116285401821,0
52,117.190911,ETH,95071785237.7134,811.2556206488863,107045139885.794,3.1300968383119745,0
53,5.529543,FIN,249126695922.266,45053.75867811607,276425164719.067,22.490086432097552,0
54,0.920422,FJI,4329275480.64859,4703.576707910708,4195973493.45034,5.539306970063731,0
55,67.571107,FRA,2413104454442.24,35712.075198682774,2679986129252.93,21.009547764253735,0
56,2.292573,GAB,15176119308.2143,6619.688580566159,14503352837.7633,3.9043903945479594,0
